CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
9/25/2017,6J,5100 PARK HEIGHTS AVE,LARCENY,,NORTHWESTERN,Central Park Heights
9/25/2017,6F,200 S MADEIRA ST,LARCENY,,SOUTHEASTERN,Upper Fells Point
9/25/2017,6J,5600 YORK RD,LARCENY,,NORTHERN,Mid-Govans
9/25/2017,6C,5400 HARFORD RD,LARCENY,,NORTHEASTERN,Waltherson
9/25/2017,6C,1000 W 41ST ST,LARCENY,,NORTHERN,Hoes Heights
9/25/2017,6E,900 RAMSAY ST,LARCENY,,SOUTHERN,Washington Village/Pigtow
9/25/2017,6G,2000 N FULTON AVE,LARCENY,,WESTERN,Mondawmin
9/25/2017,6J,3000 S HANOVER ST,LARCENY,,SOUTHERN,Middle Branch/Reedbird Pa
9/25/2017,6E,2600 SISSON ST,LARCENY,,NORTHERN,Jones Falls Area
9/25/2017,6J,4700 PILGRIM RD,LARCENY,,NORTHEASTERN,Lauraville
9/25/2017,6J,300 WILSON ST,LARCENY,,CENTRAL,Madison Park
9/25/2017,6J,600 E FAYETTE ST,LARCENY,,CENTRAL,Downtown
9/25/2017,6J,1500 CLARKSON ST,LARCENY,,SOUTHERN,South Baltimore
9/25/2017,6J,1500 CLARKSON ST,LARCENY,,SOUTHERN,South Baltimore
9/25/2017,6J,1500 CLARKSON ST,LARCENY,,SOUTHERN,South Baltimore
9/25/2017,6C,4900 HARFORD RD,LARCENY,,NORTHEASTERN,Lauraville
9/25/2017,6E,800 S CAREY ST,LARCENY,,SOUTHERN,Washington Village/Pigtow
9/24/2017,6J,5000 SINCLAIR LN,LARCENY,,NORTHEASTERN,Frankford
9/24/2017,6A,5500 REISTERSTOWN RD,LARCENY,,NORTHWESTERN,Woodmere
9/24/2017,6G,1000 FLEET ST,LARCENY,,SOUTHEASTERN,Inner Harbor
9/24/2017,6G,900 APPLETON ST,LARCENY,,WESTERN,Midtown-Edmondson
9/24/2017,6G,3000 CARLISLE AVE,LARCENY,,NORTHWESTERN,Hanlon-Longwood
