5/17/2017,2A,1300 MCCULLOH ST,RAPE,OTHER,CENTRAL,Madison Park
5/17/2017,2A,2600 WATERVIEW AVE,RAPE,OTHER,SOUTHERN,Westport
5/16/2017,2A,700 E 20TH ST,RAPE,OTHER,EASTERN,East Baltimore Midway
5/16/2017,2A,4400 PALL MALL RD,RAPE,OTHER,NORTHERN,Greenspring
5/15/2017,2A,200 N PAYSON ST,RAPE,OTHER,WESTERN,Penrose/Fayette Street Ou
5/15/2017,2A,500 CHERRY HILL RD,RAPE,OTHER,SOUTHERN,Cherry Hill
5/13/2017,2A,2500 N HOWARD ST,RAPE,OTHER,NORTHERN,Charles Village
5/12/2017,2A,3900 CLARINTH RD,RAPE,OTHER,NORTHWESTERN,Fallstaff
5/12/2017,2A,3800 MENLO DR,RAPE,OTHER,NORTHWESTERN,Glen
5/12/2017,2A,1200 SHERWOOD AVE,RAPE,OTHER,NORTHEASTERN,Ramblewood
5/11/2017,2A,2300 N CHARLES ST,RAPE,OTHER,NORTHERN,Old Goucher
5/11/2017,2A,5600 GOVANE AVE,RAPE,OTHER,NORTHERN,Mid-Govans
5/10/2017,2A,2100 HOMEWOOD AVE,RAPE,OTHER,EASTERN,East Baltimore Midway
5/8/2017,2A,700 RICHWOOD AVE,RAPE,OTHER,NORTHERN,Richnor Springs
5/5/2017,2A,1600 E MADISON ST,RAPE,OTHER,EASTERN,Gay Street
5/3/2017,2A,5600 THE ALAMEDA,RAPE,OTHER,NORTHERN,Glen Oaks
5/2/2017,2A,1700 N CAROLINE ST,RAPE,OTHER,EASTERN,Oliver
5/2/2017,2A,500 OLDTOWN MA,RAPE,OTHER,EASTERN,Oldtown
5/2/2017,2A,1500 N POTOMAC ST,RAPE,OTHER,EASTERN,Berea
5/1/2017,2A,5600 CARDIFF AVE,RAPE,OTHER,SOUTHEASTERN,Medford
5/1/2017,2B,100 W 25TH ST,RAPE,,NORTHERN,Old Goucher
4/30/2017,2A,4400 OLD YORK RD,RAPE,OTHER,NORTHERN,Wilson Park
4/28/2017,2A,900 E 41ST ST,RAPE,OTHER,NORTHERN,Pen Lucy
4/28/2017,2A,800 HERNDON CT,RAPE,OTHER,SOUTHERN,Brooklyn
4/27/2017,2A,500 OLDTOWN MA,RAPE,OTHER,EASTERN,Oldtown
4/25/2017,2A,3100 CLIFTMONT AVE,RAPE,OTHER,NORTHEASTERN,Belair-Edison
4/25/2017,2A,200 N MONASTERY,RAPE,OTHER,SOUTHWESTERN,Allendale
4/25/2017,2A,1100 WHITELOCK ST,RAPE,OTHER,CENTRAL,Reservoir Hill
4/24/2017,2A,3000 HERBERT ST,RAPE,OTHER,SOUTHWESTERN,Walbrook
4/23/2017,2A,200 S MONASTERY AVE,RAPE,OTHER,SOUTHWESTERN,Irvington
4/22/2017,2A,1600 VINCENT CT,RAPE,OTHER,WESTERN,Sandtown-Winchester
4/20/2017,2A,2600 MATHEWS ST,RAPE,OTHER,NORTHERN,Better Waverly
4/19/2017,2A,2100 WALBROOK AVE,RAPE,OTHER,WESTERN,Mondawmin
4/19/2017,2A,1800 N ROSEDALE ST,RAPE,OTHER,SOUTHWESTERN,Northwest Community Actio
4/18/2017,2A,500 S PATTERSON PARK AVE,RAPE,OTHER,SOUTHEASTERN,Canton
4/15/2017,2A,2200 W Cold Spring Ln,RAPE,OTHER,NORTHERN,Coldspring
4/15/2017,2A,400 GWYNN AVE,RAPE,OTHER,SOUTHWESTERN,Lower Edmondson Village
4/15/2017,2A,200 S MONASTERY AVE,RAPE,OTHER,SOUTHWESTERN,Irvington
4/13/2017,2A,800 N BROADWAY,RAPE,OTHER,EASTERN,Gay Street
4/12/2017,2A,1800 PENNSYLVANIA AVE,RAPE,OTHER,CENTRAL,Upton
4/11/2017,2A,1300 GORSUCH AVE,RAPE,OTHER,NORTHEASTERN,Coldstream Homestead Mont
4/10/2017,2B,3400 DUDLEY AVE,RAPE,,NORTHEASTERN,Belair-Edison
4/7/2017,2A,1700 W ROGERS AVE,RAPE,OTHER,NORTHERN,Mount Washington
4/6/2017,2A,1600 E 25TH ST,RAPE,OTHER,EASTERN,Darley Park
4/6/2017,2A,4900 EASTERN AV,RAPE,OTHER,SOUTHEASTERN,Greektown
4/5/2017,2A,800 W LEXINGTON ST,RAPE,OTHER,WESTERN,Poppleton
4/3/2017,2A,0 PATTERSON,RAPE,OTHER,SOUTHEASTERN,Patterson Place
4/2/2017,2A,1700 EUTAW PL,RAPE,OTHER,CENTRAL,Bolton Hill
3/29/2017,2A,1300 W PRATT ST,RAPE,OTHER,SOUTHERN,Union Square
3/29/2017,2A,1600 E 25TH ST,RAPE,OTHER,EASTERN,Darley Park
3/26/2017,2A,1700 MCCULLOH ST,RAPE,OTHER,CENTRAL,Upton
3/23/2017,2A,2800 FLEETWOOD AVE,RAPE,OTHER,NORTHEASTERN,Westfield
3/23/2017,2A,2800 SAINT LO DR,RAPE,OTHER,NORTHEASTERN,Clifton Park
3/22/2017,2A,100 W JEFFREY ST,RAPE,OTHER,SOUTHERN,Brooklyn
3/21/2017,2A,6600 MOONFLOWER CT,RAPE,OTHER,NORTHEASTERN,Hamilton Hills
3/21/2017,2A,BETHEL ST & HOFFMAN ST,RAPE,OTHER,EASTERN,Oliver
3/19/2017,2A,6100 FAIRDEL AVE,RAPE,OTHER,NORTHEASTERN,Glenham-Belhar
3/17/2017,2A,0 S HIGHLAND AVE,RAPE,OTHER,SOUTHEASTERN,Canton
3/16/2017,2A,300 PONTIAC AVE,RAPE,OTHER,SOUTHERN,Brooklyn
3/16/2017,2A,2300 N CHARLES ST,RAPE,OTHER,NORTHERN,Old Goucher
3/15/2017,2B,4300 BOWERS AVE,RAPE,,NORTHWESTERN,Grove Park
3/14/2017,2A,3200 WOODLAND AVE,RAPE,OTHER,NORTHWESTERN,Central Park Heights
3/14/2017,2A,3200 WOODLAND AVE,RAPE,OTHER,NORTHWESTERN,Central Park Heights
3/13/2017,2A,300 SAINT PAUL ST,RAPE,OTHER,CENTRAL,Downtown
3/13/2017,2A,1700 E COLD SPRING LN,RAPE,OTHER,NORTHEASTERN,Stonewood-Pentwood-Winsto
3/11/2017,2B,400 E BALTIMORE ST,RAPE,,CENTRAL,Downtown
