CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
2/14/2015,1F,1700 ASHBURTON ST,HOMICIDE,FIREARM,WESTERN,Coppin Heights/Ash-Co-Eas
2/12/2015,1F,3300 GARRISON BLVD,HOMICIDE,FIREARM,NORTHWESTERN,Forest Park
2/12/2015,1F,300 COLLINS AV,HOMICIDE,FIREARM,SOUTHWESTERN,Irvington
2/11/2015,1F,3900 W GARRISON AV,HOMICIDE,FIREARM,NORTHWESTERN,Langston Hughes
2/3/2015,1O,400 S EATON ST,HOMICIDE,OTHER,SOUTHEASTERN,Highlandtown
2/1/2015,1F,4500 N ROGERS AV,HOMICIDE,FIREARM,NORTHWESTERN,Woodmere
2/1/2015,1F,600 N ELLWOOD AV,HOMICIDE,FIREARM,SOUTHEASTERN,Ellwood Park/Monument
1/31/2015,1F,5300 FRANKFORD AV,HOMICIDE,FIREARM,NORTHEASTERN,Frankford
1/30/2015,1F,3000 Liberty Heights Av,HOMICIDE,FIREARM,NORTHWESTERN,Ashburton
1/29/2015,1F,4400 PRUDENCE ST,HOMICIDE,FIREARM,SOUTHERN,Curtis Bay
1/29/2015,1F,2300 E LAFAYETTE AV,HOMICIDE,FIREARM,EASTERN,Broadway East
1/29/2015,1F,900 STAMFORD RD,HOMICIDE,FIREARM,SOUTHWESTERN,West Hills
1/28/2015,1F,2300 WALBROOK AV,HOMICIDE,FIREARM,WESTERN,Mondawmin
1/26/2015,1F,2000 PENNSYLVANIA AV,HOMICIDE,FIREARM,CENTRAL,Upton
1/25/2015,1K,4500 FURLEY AV,HOMICIDE,KNIFE,NORTHEASTERN,Frankford
1/24/2015,1F,4400 FRANCONIA DR,HOMICIDE,FIREARM,NORTHEASTERN,Frankford
1/18/2015,1F,2000 DENISON ST,HOMICIDE,FIREARM,SOUTHWESTERN,Mount Holly
1/18/2015,1F,2000 DENISON ST,HOMICIDE,FIREARM,SOUTHWESTERN,Mount Holly
1/17/2015,1F,1700 PRESSTMAN ST,HOMICIDE,FIREARM,WESTERN,Sandtown-Winchester
1/12/2015,1F,1700 HOMESTEAD ST,HOMICIDE,FIREARM,NORTHEASTERN,Coldstream Homestead Mont
1/10/2015,1F,1900 MC CULLOH ST,HOMICIDE,FIREARM,CENTRAL,Druid Heights
1/9/2015,1F,5900 GLENKIRK RD,HOMICIDE,FIREARM,NORTHEASTERN,Ramblewood
1/9/2015,1F,5900 GLENKIRK RD,HOMICIDE,FIREARM,NORTHEASTERN,Ramblewood
1/5/2015,1O,1100 N CARROLLTON AV,HOMICIDE,OTHER,WESTERN,Sandtown-Winchester
1/4/2015,1F,1100 N WOODYEAR ST,HOMICIDE,FIREARM,WESTERN,Sandtown-Winchester
1/4/2015,1F,1900 62ND ST,HOMICIDE,FIREARM,NORTHEASTERN,Pulaski Industrial Area
1/3/2015,1F,500 QUEENSGATE RD,HOMICIDE,FIREARM,SOUTHWESTERN,Beechfield
1/3/2015,1F,2600 SEVILLE AV,HOMICIDE,FIREARM,NORTHERN,Levindale
1/3/2015,1F,4500 ERDMAN AV,HOMICIDE,FIREARM,NORTHEASTERN,Orangeville Industrial Ar
12/31/2014,1F,4000 2ND ST,HOMICIDE,FIREARM,SOUTHERN,Brooklyn
12/30/2014,1F,3100 GREENMOUNT AV,HOMICIDE,FIREARM,NORTHERN,Abell
12/28/2014,1F,2300 MC CULLOH ST,HOMICIDE,FIREARM,WESTERN,Penn North
12/25/2014,1K,3800 S HANOVER ST,HOMICIDE,KNIFE,SOUTHERN,Brooklyn
12/22/2014,1F,2000 DENISON ST,HOMICIDE,FIREARM,SOUTHWESTERN,Mount Holly
12/20/2014,1K,500 N SCHROEDER ST,HOMICIDE,KNIFE,WESTERN,Harlem Park
12/20/2014,1F,3700 RAVENWOOD AV,HOMICIDE,FIREARM,NORTHEASTERN,Belair-Edison
