callDateTime,priority,district,description,callNumber,incidentLocation
01/17/2016 06:32:00 PM,Medium,SD,FAMILY DISTURB,P160172199,200 S CALHOUN ST
01/17/2016 06:26:00 PM,Medium,CD,FAMILY DISTURB,P160172189,700 W LEXINGTON ST
01/17/2016 06:37:00 PM,Medium,CD,FAMILY DISTURB,P160172213,700 W LEXINGTON ST
01/17/2016 06:33:00 PM,Medium,SW,FAMILY DISTURB,P160172202,500 RANDOM RD
01/17/2016 06:29:00 PM,Medium,WD,FAMILY DISTURB,P160172192,2400 WINCHESTER ST
01/17/2016 06:58:00 PM,Medium,ND,FAMILY DISTURB,P160172256,400 W 24TH ST
01/17/2016 07:11:00 PM,Medium,ND,FAMILY DISTURB,P160172291,4200 ELSA TE
01/17/2016 07:36:00 PM,Medium,NW,FAMILY DISTURB,P160172352,6900 FIELDCREST RD
01/17/2016 07:43:00 PM,Medium,ND,FAMILY DISTURB,P160172375,400 W 24TH ST
01/17/2016 07:51:00 PM,Medium,SW,FAMILY DISTURB,P160172392,5400 LANTERN CT
01/17/2016 08:33:00 PM,Medium,ND,FAMILY DISTURB,P160172499,2500 LOYOLA NORTHWAY
01/17/2016 08:26:00 PM,Medium,NW,FAMILY DISTURB,P160172472,2900 OAKLEY AV
01/17/2016 09:10:00 PM,Medium,NE,FAMILY DISTURB,P160172606,3500 PARKLAWN AV
01/17/2016 09:44:00 PM,Medium,ND,FAMILY DISTURB,P160172707,300 E 25TH ST
01/17/2016 09:39:00 PM,Medium,SD,FAMILY DISTURB,P160172683,800 E JEFFREY ST
01/17/2016 09:47:00 PM,Medium,ED,FAMILY DISTURB,P160172703,2700 E PRESTON ST
01/17/2016 09:35:00 PM,Medium,SD,FAMILY DISTURB,P160172678,200 S WOODYEAR ST
01/17/2016 10:22:00 PM,Medium,ED,FAMILY DISTURB,P160172776,1400 KENHILL AV
01/17/2016 10:20:00 PM,Medium,NW,FAMILY DISTURB,P160172772,3800 DOLFIELD AV
01/17/2016 11:38:00 PM,Medium,ED,FAMILY DISTURB,P160172975,2000 CECIL AV
01/17/2016 11:28:00 PM,Medium,SW,FAMILY DISTURB,P160172959,2700 WINCHESTER ST
01/17/2016 11:25:00 PM,Medium,ED,FAMILY DISTURB,P160172948,1600 N PORT ST
01/17/2016 11:31:00 PM,Medium,SW,FAMILY DISTURB,P160172965,2700 WINCHESTER ST
01/17/2016 11:47:00 PM,Medium,ND,FAMILY DISTURB,P160173004,1500 UNION AV
01/17/2016 11:53:00 PM,Medium,NW,FAMILY DISTURB,P160173027,5600 ELDERON AV
01/18/2016 12:31:00 AM,Medium,WD,FAMILY DISTURB,P160180084,600 ASHBURTON ST
01/18/2016 12:24:00 AM,Medium,SD,FAMILY DISTURB,P160180066,3000 JANICE AV
01/18/2016 12:09:00 AM,Medium,SW,FAMILY DISTURB,P160180039,1000 POPLAR GROVE ST
01/18/2016 12:06:00 AM,Medium,SW,FAMILY DISTURB,P160180032,1000 POPLAR GROVE ST
01/18/2016 01:39:00 AM,Medium,ED,FAMILY DISTURB,P160180212,2400 E LAFAYETTE AV
01/18/2016 01:30:00 AM,Medium,WD,FAMILY DISTURB,P160180183,2500 LAURETTA AV
01/18/2016 02:26:00 AM,Medium,SW,FAMILY DISTURB,P160180273,3200 NORMOUNT AV
01/18/2016 02:30:00 AM,Medium,WD,FAMILY DISTURB,P160180276,1100 N STRICKER ST
01/18/2016 03:51:00 AM,Medium,SW,FAMILY DISTURB,P160180371,2200 EAGLE ST
01/18/2016 03:51:00 AM,Medium,WD,FAMILY DISTURB,P160180372,2900 AUCHENTOROLY TE
01/18/2016 03:36:00 AM,Medium,NE,FAMILY DISTURB,P160180354,3100 CLIFTMONT AV
01/18/2016 01:49:00 PM,Medium,WD,FAMILY DISTURB,P160181375,2400 MCCULLOH ST
